premise,hypothesis,label,lang_abv
"a woman with a red scarf , white shirt , and tan shorts is giving a shu sign to the camera in front of shelves of books",a man is playing a guitar .,1,en
two workers in green uniforms are standing in an alley .,a man is playing a guitar .,0,en
seven young girls are being creative and making posters .,a man is playing a guitar .,1,en
a crowd of people standing in front of statues .,a man is playing a guitar .,2,en
a man wearing noise - cancel head and a breathing mask works on a white sculpture .,a man is playing a guitar .,1,en
team member 39 waiting for the puck to come his way .,a man is playing a guitar .,1,en
a man in an argyle shirt bends down to look at the good through the glass in an asian shop .,a man is playing a guitar .,0,en
a person with an orange shovel is shovel snow .,a man is playing a guitar .,0,en
"an old man with a cowboy hat , cowboy boots , and blue jeans stands next to a cabin and looks off into the distance as the sun",a man is playing a guitar .,1,en
a man in a mask in the back of a service vehicle .,a man is playing a guitar .,0,en
a woman in br wear embrace an individual .,a man is playing a guitar .,0,en
a person dressed in winter clothes poses with a snow surrounded by snow covered landscape .,a man is playing a guitar .,0,en
child is laughing and playing around .,a man is playing a guitar .,1,en
a woman attends to her laundry in a lau .,a man is playing a guitar .,0,en
a young boy wearing an orange uniform stands on the field near a colorful ball .,a man is playing a guitar .,2,en
a boy and a woman are on top of large rocks at sunset .,a man is playing a guitar .,0,en
blond women working wearing gloves .,a man is playing a guitar .,2,en
a guy and a girl look down a mountain range .,a man is playing a guitar .,2,en
a dark - haired man wearing a black and white t - shirt eats in a park surrounded by people .,a man is playing a guitar .,1,en
a little girl standing in the middle of a street cleared for an on parade .,a man is playing a guitar .,2,en
a man wearing a white shirt and a blue jeans reading a newspaper while standing,a man is playing a guitar .,1,en
a young redhead girl in a blue shirt is walking and talking with a boy in black pearl jam shirt .,a man is playing a guitar .,1,en
two boys reading superhero books,a man is playing a guitar .,0,en
a short - haired man in a dark camouflage jacket plays the saxophone on a street corner while people look on in the background .,a man is playing a guitar .,0,en
a young boy dressed in black and green is laying down in a tent outside with items surrounding him .,a man is playing a guitar .,0,en
a young boy wearing an orange jacket is sitting on a log in the fall .,a man is playing a guitar .,0,en
a crowd of people shopping at a street market in an urban area with buildings and a statue in background .,a man is playing a guitar .,2,en
pedestrian walking on the street,a man is playing a guitar .,1,en
dog ya,a man is playing a guitar .,2,en
sexy young men stand on a balcony having a heated conversation .,a man is playing a guitar .,2,en
a woman with a cart of eggs walks in a market .,a man is playing a guitar .,0,en
africans are walking down a dirt road with straw huts in the background .,a man is playing a guitar .,1,en
a woman wearing a ball cap squat down to touch the cracked earth .,a man is playing a guitar .,1,en
a man and woman look upward on a city block .,a man is playing a guitar .,2,en
three men are working with their bikes in the shoulder of a road .,a man is playing a guitar .,2,en
a baby is looking into what looks like a telescope .,a man is playing a guitar .,0,en
four kids sitting at a table with food on several plates .,a man is playing a guitar .,0,en
an asian lady is holding a cup and sitting in front of a table covered in different foods .,a man is playing a guitar .,0,en
a woman with a black and white dress on is carrying a green plastic laundry basket in front of an apartment building .,a man is playing a guitar .,1,en
a bald man with a white shirt and watch eating food and drinking wine .,a man is playing a guitar .,1,en
young children play on sc .,a man is playing a guitar .,1,en
little girl with very curly hair drinking her cup of juice .,a man is playing a guitar .,1,en
"three men in yellow green safety vest sit on a bench ya , smoking and having a break .",a man is playing a guitar .,1,en
a person rolls down a hill riding a wagon as another watches .,a man is playing a guitar .,0,en
a woman and a child both wearing red outfits walking up a street,a man is playing a guitar .,0,en
a man is giving a presentation .,a man is playing a guitar .,0,en
a woman in a red long - sleeve shirt and blue jeans stands at the le speaking at or about g u wi,a man is playing a guitar .,2,en
a half dressed man is sleeping on the sidewalk .,a man is playing a guitar .,2,en
a man with a duff bag and girl pushing a cart walk down a street .,a man is playing a guitar .,2,en
"a man is sitting on the floor , sleeping .",a man is playing a guitar .,0,en
two people are playing american football and one of them is trying to stop the other from throwing the ball .,a man is playing a guitar .,0,en
a person wearing a red shirt is falling off a white surf .,a man is playing a guitar .,2,en
a woman holding bags behind plant .,a man is playing a guitar .,0,en
"a boy wearing a yellow shirt , k pants , and blue and yellow shoes is hitting a tennis ball off a wall with a tennis",a man is playing a guitar .,2,en
a man wearing a red shirt is quickly polish a light wooden floor with a small green towel next to a yellow can of wood silk .,a man is playing a guitar .,0,en
an african person standing in a wheat field .,a man is playing a guitar .,1,en
an african - american male youth is riding a green bicycle while other people are looking at pictures on a board .,a man is playing a guitar .,2,en
a dog plays with a stuffed animal .,a man is playing a guitar .,1,en
painter re - creates old works of art in a museum .,a man is playing a guitar .,0,en
a man takes a drink in the doorway of a home .,a man is playing a guitar .,1,en
this is a clown at an elementary school .,a man is playing a guitar .,1,en
a man hammering nails on a shed .,a man is playing a guitar .,2,en
a brunette woman holding a little girl dressed in pink is kneeling next to a grazing white and brown ll in the fore of a hilly,a man is playing a guitar .,2,en
the man in the brown shirt is holding the hand of the long - haired child in front of a painting .,a man is playing a guitar .,1,en
young men drink coffee and read books just outside some buildings on a sunny day ; an older bearded man in a dark blue shirt glances at a,a man is playing a guitar .,2,en
man is sha in the mirror .,a man is playing a guitar .,2,en
a boy spinning on a blue and yellow merry - go - round .,a man is playing a guitar .,1,en
a man a woman posing for a picture .,a man is playing a guitar .,1,en
a busy street with building lined up and people walking down the street outside and nighttime .,a man is playing a guitar .,2,en
"a woman in skirt , torn stockings and combat boots and a man in aviator and batman tank top walk down a city street .",a man is playing a guitar .,0,en
a white man in a blue uniform is pushing away a black man in a red uniform while the two play soccer on a green field .,a man is playing a guitar .,1,en
three children are shooting guns in the woods .,a man is playing a guitar .,2,en
four men stand in a circle facing each other playing brass instruments which people watch them .,a man is playing a guitar .,0,en
a woman in tennis clothes running to hit a ball with her tennis rack .,a man is playing a guitar .,2,en
a man sitting on steps with a child as a by walks by .,a man is playing a guitar .,0,en
a man draws a car of a woman .,a man is playing a guitar .,0,en
several people have gathered behind a group of other people who are sitting around a table .,a man is playing a guitar .,0,en
a young woman is wearing a paper crown at an outdoor event .,a man is playing a guitar .,2,en
a person in a red shirt is mo the grass with a green riding mo .,a man is playing a guitar .,1,en
a black dog chases a boy wearing red and blue .,a man is playing a guitar .,0,en
a group of men are riding a moving walkway .,a man is playing a guitar .,1,en
lab tech looking through a microscope in a lab .,a man is playing a guitar .,0,en
two men are standing in a boat .,a man is playing a guitar .,0,en
a man speaking with two women .,a man is playing a guitar .,1,en
a man in a white striped shirt and blue jeans using a water hose to spray water on the ground of concrete ruins . f .,a man is playing a guitar .,2,en
two little boys wearing athletic jerseys are washing their hands in a public restroom .,a man is playing a guitar .,1,en
three women are sitting on a green bench looking out at the coast .,a man is playing a guitar .,1,en
"a group of people on the bark , brightly light street , while one man with a gray hat holds a large colorful sign with arrows .",a man is playing a guitar .,2,en
a man holding a briefcase on a subway .,a man is playing a guitar .,0,en
3 olympic winners posing for a photo on an advertised background,a man is playing a guitar .,0,en
a small child in a red jacket is sitting on a man ' s shoulders and holding his head .,a man is playing a guitar .,2,en
a white dog is running on a rocky beach .,a man is playing a guitar .,1,en
cook handling hot tray with food on it .,a man is playing a guitar .,0,en
a man in a military uniform is walking away from a line of military vehicles .,a man is playing a guitar .,0,en
a black man wearing a red belt and a white man wearing a blue belt are pictured in the act of practicing martial arts inside a building with,a man is playing a guitar .,1,en
one young woman in a blue uniform helping another young woman in a blue sweatshirt with a white band around her arm .,a man is playing a guitar .,0,en
four men playing drums in very orange lighting while one of them is also drinking something out of a bottle .,a man is playing a guitar .,0,en
a lit girl splash around in natural water .,a man is playing a guitar .,0,en
"two black labs run , one carrying an orange dog toy .",a man is playing a guitar .,0,en
a girl in a blue leo hu hoop on a stage with balloon shapes in the background .,a man is playing a guitar .,1,en
a young girl in a pink shirt playing with her barbie .,a man is playing a guitar .,0,en
a girl and a boy hugging on a bridge,a man is playing a guitar .,1,en
a squirrel stands on its hind legs in the grass at the edge of a road .,a man is playing a guitar .,2,en
two children wearing hooded tops laughing with each other .,a man is playing a guitar .,2,en
a boy in a gray and yellow jacket is raising his hand in front of others sitting around him .,a man is playing a guitar .,1,en
"the brown , furry animal is walking in the snowy grass with a tree behind him .",a man is playing a guitar .,2,en
a small group of people wait to board an mt bus .,a man is playing a guitar .,2,en
four people and a baby are crossing the street at a cross .,a man is playing a guitar .,2,en
a surfer showing off his talent in public using a man - made water machine .,a man is playing a guitar .,2,en
a land rover is being driven across a river .,a man is playing a guitar .,2,en
a bunch of people are standing all together in a street with a building in the background .,a man is playing a guitar .,1,en
the cyclist rides on a wooded path .,a man is playing a guitar .,1,en
an ambulance is passing a man wearing a banda and girl .,a man is playing a guitar .,1,en
two people wearing green rain sit in blue b that are otherwise empty .,a man is playing a guitar .,0,en
five young indian girls dress in colorful dresses are holding hands and smiling forming a circle,a man is playing a guitar .,0,en
a boy drag his sl through the snow .,a man is playing a guitar .,1,en
a little boy playing outside on the cement .,a man is playing a guitar .,1,en
a young black man is getting his hair buzzed off .,a man is playing a guitar .,2,en
"three people wearing black blind near a "" sal o planet "" sign .",a man is playing a guitar .,0,en
male wearing brown shorts and black t - shirt in his bedroom with his feet on the desk talking on the phone .,a man is playing a guitar .,2,en
"one young boy in a yellow long - sleeve shirt and jeans sitting down , with five adults in front of him , one operating a video",a man is playing a guitar .,0,en
a man in military uniform points as three other men watch .,a man is playing a guitar .,1,en
the little boy is smiling as he crosses a rope on an assault course .,a man is playing a guitar .,0,en
someone with a long pole that appears to have a spike on the end is pointing it at a red balloon on the other side of the wall,a man is playing a guitar .,1,en
a woman wearing a red hat and red banda followed by a man in a red banda .,a man is playing a guitar .,1,en
a man with black clothing is sweeping steps with a broom .,a man is playing a guitar .,0,en
an enthusiastic boy pushes a shopping cart containing a smiling boy .,a man is playing a guitar .,1,en
a fire with a neon helmet and a pick inspect some debris with a flashlight .,a man is playing a guitar .,2,en
a boy at the beach runs through the surf towards three other people who are already in the water .,a man is playing a guitar .,2,en
men wearing life vest speed across a body of water in an orange boat .,a man is playing a guitar .,0,en
the man in the white shirt holds up a playing card .,a man is playing a guitar .,2,en
a lady in a white tank and shorts fixing a wooden drawer .,a man is playing a guitar .,2,en
"a man dressed in a blue shirt , tan shorts , and a red baseball cap is examining a red antique car with an u . s .",a man is playing a guitar .,1,en
a blond - haired baby is sitting on the floor playing with toys while looking at a black and white cat .,a man is playing a guitar .,2,en
elderly woman climbing up the stairs .,a man is playing a guitar .,0,en
"three men are playing soccer , two of them in blue uniforms and the other in a bright green uniform .",a man is playing a guitar .,0,en
"three men , who appear to be asian , are con near a carved wall , while another man sits on a bench with his eyes",a man is playing a guitar .,0,en
several members of a community are celebrating with music and costumes during a festival or party .,a man is playing a guitar .,0,en
a cobb street lined with houses and some pedestrians milling around .,a man is playing a guitar .,2,en
a woman and child are on a boat and the woman is looking out into the ocean through a scope .,a man is playing a guitar .,0,en
two people standing behind a son display and a woman with a stroll on the other side .,a man is playing a guitar .,0,en
person walking down lighted tunnel with green hand .,a man is playing a guitar .,2,en
a man with a light blue t - shirt outside in the open wearing red ear protection while firing a gun .,a man is playing a guitar .,1,en
a motor is flying through the air above a dirt path .,a man is playing a guitar .,2,en
a man and wife stand at the alter as they get married .,a man is playing a guitar .,0,en
african woman walking through field .,a man is playing a guitar .,0,en
a man is holding an accordion while leaning against a brown fence that overlook some water .,a man is playing a guitar .,2,en
a dog carries an object in the snow .,a man is playing a guitar .,1,en
"a group of men in blue shirts , banded hats , and red banda stand in a group .",a man is playing a guitar .,1,en
construction workers on lifts working on a building .,a man is playing a guitar .,2,en
"bruce springsteen , with one arm outstretched , is singing in the spotlight in a dark concert hall .",a man is playing a guitar .,1,en
one many is fishing by a river with some buildings in the background while another man next to him is about to get a drink from the bottle,a man is playing a guitar .,0,en
a woman in a red jacket walks down the street in the rain .,a man is playing a guitar .,2,en
an indian woman is dancing with her partner .,a man is playing a guitar .,1,en
three children are shooting guns in the woods .,a man is playing a guitar .,0,en
a red truck is parked next to a burning blue building while a man in a green vest runs toward it .,a man is playing a guitar .,1,en
a b rider is in mid while on a dirt trail .,a man is playing a guitar .,1,en
in this picture it appears that a man is falling off a bull while attempting to ride the animal .,a man is playing a guitar .,0,en
a boy in a beige shirt is sleeping in a car .,a man is playing a guitar .,2,en
a man walking and carrying a notebook .,a man is playing a guitar .,1,en
two men are shirt on the beach on a beautiful day .,a man is playing a guitar .,2,en
"a person of ind sex wearing a dark hat , neutral pants , and a red shirt walking up a rocky slope at high altitude in",a man is playing a guitar .,0,en
men wearing hats walk on the street .,a man is playing a guitar .,1,en
a female camera operator is capturing some off - camera activity .,a man is playing a guitar .,1,en
a crowd of people in stadium style seating appear di in the venue .,a man is playing a guitar .,1,en
a snow on a wide plain of snow,a man is playing a guitar .,1,en
women in costume stand on a stage .,a man is playing a guitar .,1,en
a woman on the sidewalk blocks the sun from her eyes to peer down the street .,a man is playing a guitar .,2,en
two women sitting at a table with their hands together .,a man is playing a guitar .,0,en
a group of football players is standing behind a coaching official .,a man is playing a guitar .,2,en
the young lady is giving the old man a hug .,a man is playing a guitar .,2,en
five rodeo contestants wait their turn .,a man is playing a guitar .,2,en
a group of children looking at the contents of a slide through a microscope displayed on a computer screen .,a man is playing a guitar .,0,en
"woman in a blue dress and carrying a black purse , rides a sc down the street .",a man is playing a guitar .,1,en
a person wearing a red shirt is falling off a white surf .,a man is playing a guitar .,1,en
a group of girls jumping over another girl who is laying on the floor .,a man is playing a guitar .,0,en
a guy in a yellow shirt performs a balancing act on a taught chain near a canal .,a man is playing a guitar .,2,en
a dog catching a fr .,a man is playing a guitar .,2,en
a woman is in the middle of hitting a tennis ball .,a man is playing a guitar .,2,en
a black scientist looks through a scope examining a biological specimen ' s blood cells .,a man is playing a guitar .,2,en
a person swimming in a swimming pool .,a man is playing a guitar .,2,en
a woman with a blue jacket around her waist is sitting on the ledge of some stone ruins resting .,a man is playing a guitar .,0,en
a tennis player in a pink outfit serves the ball to her opponent .,a man is playing a guitar .,2,en
man doing carp or construction on top of an unfinished building .,a man is playing a guitar .,1,en
"two cars , one red and one blue , race each other in a very tight and competitive nature as fans stand by and watch .",a man is playing a guitar .,0,en
a woman tired from her long day takes a nap on her bed above the sheets and covers .,a man is playing a guitar .,2,en
the german shepherd runs happily in the park .,a man is playing a guitar .,0,en
a surfer is performing a jumping stunt in the ocean .,a man is playing a guitar .,1,en
a woman with a pink purse walks down a crowded sidewalk .,a man is playing a guitar .,1,en
children playing a video game together .,a man is playing a guitar .,0,en
the skate is jumping his board in the air while another skate watches .,a man is playing a guitar .,1,en
cheer in blue performing on a football field underneath a yellow football goal post .,a man is playing a guitar .,0,en
a woman wearing purple and carrying a bag is walking out of a door .,a man is playing a guitar .,2,en
a street performer wearing sunglasses and painted in bronze colored paint is acting like he is filming with an old - fashioned prop film camera .,a man is playing a guitar .,0,en
young child standing on a snow pile in a city .,a man is playing a guitar .,2,en
a choir of youths are singing .,a man is playing a guitar .,0,en
three men are playing fr in the woods .,a man is playing a guitar .,0,en
shirt man with long pole navigate covered boat down a palm tree lined river past a hut .,a man is playing a guitar .,0,en
"three men , one holding pipes , another holding a large object above his head , and one resting against the pipe bed on the truck , are",a man is playing a guitar .,0,en
a beautiful bride walking on a sidewalk with her new husband .,a man is playing a guitar .,2,en
a child in a maroon shirt playing next to a fountain .,a man is playing a guitar .,0,en
"indy car , white , blue with a red mark on the roof , rounding a turn , in front of the white car .",a man is playing a guitar .,1,en
women wearing a black top and glasses speaking into a blue tipped microphone with another woman beside her writing .,a man is playing a guitar .,0,en
a girl in black pants doing exercises .,a man is playing a guitar .,1,en
a lit girl splash around in natural water .,a man is playing a guitar .,2,en
a boy in a yellow t - shirt and pink sweater talks on a cell while riding a horse through a crowd of people who are looking,a man is playing a guitar .,0,en
a woman wearing a straw hat is sitting among a variety of different foods while holding a drink .,a man is playing a guitar .,2,en
a girl in black pants doing exercises .,a man is playing a guitar .,2,en
"six males , four with shirts and two without , have taken a break from their construction work on a building .",a man is playing a guitar .,0,en
a couple walks hand - in - hand in front of victorian - style building and a wall with a large sleeping baby painted on it .,a man is playing a guitar .,1,en
a man in a short mohawk and beard .,a man is playing a guitar .,0,en
a dog biting a man ' s rear,a man is playing a guitar .,0,en
four men with baseball caps and logo t - shirts laughing together at a table .,a man is playing a guitar .,1,en
people are riding their bikes down a road .,a man is playing a guitar .,1,en
a man in a jacket wearing black boots walking on the truck of a fallen tree over a ravine .,a man is playing a guitar .,2,en
a soccer player in white kicks a ball as another soccer player lung towards the ball and a third soccer player in red follows close by .,a man is playing a guitar .,0,en
three men are working with their bikes in the shoulder of a road .,a man is playing a guitar .,1,en
a man in a army uniform is holding a picture with trees in it .,a man is playing a guitar .,0,en
construction workers use cables to hang from the sides of buildings .,a man is playing a guitar .,1,en
"two sweet young girls on ice skate , hands up and holding on to each other get ready to begin their performance on the ice .",a man is playing a guitar .,0,en
an old woman walking down the street .,a man is playing a guitar .,1,en
a man is resting in a small stream with a hat over his head while the little waterfall is pouring in the background .,a man is playing a guitar .,2,en
several younger people sitting in front of a statue .,a man is playing a guitar .,1,en
"soccer players are playing a night game and the ball is in the air , while the two teams fight for it .",a man is playing a guitar .,1,en
a professional baseball catcher and behind him an umpire are knelt in action position and are awaiting the pitch .,a man is playing a guitar .,1,en
a group of men on a beach are chasing another man who is carrying a ball .,a man is playing a guitar .,1,en
"three children and adults in the background , all pretend to sleep .",a man is playing a guitar .,0,en
two old women sitting on curb next to flowers,a man is playing a guitar .,1,en
a couple walking their dog .,a man is playing a guitar .,2,en
a gentleman with his eyes closed playing an old flu into a microphone .,a man is playing a guitar .,1,en
two people standing behind a son display and a woman with a stroll on the other side .,a man is playing a guitar .,2,en
a man is making a phone call .,a man is playing a guitar .,1,en
a tractor decorated as a float for a parade,a man is playing a guitar .,2,en
a man is walking past a large sign that says e . s . e . electronics .,a man is playing a guitar .,1,en
some dogs are running on a deserted beach .,a man is playing a guitar .,2,en
an accordion player with a bright colored shirt sitting outside in a chair with a young man in a blue t - shirt passing by .,a man is playing a guitar .,0,en
a white - clad soccer player is attempting to intercept a soccer ball that is quickly approaching the goal box .,a man is playing a guitar .,0,en
a young boy gets his photo taken with mr . and mrs . clause .,a man is playing a guitar .,2,en
a man in a black hat opens his mouth .,a man is playing a guitar .,1,en
a crowd of people are packed into a subway car .,a man is playing a guitar .,1,en
a bi is attempting a trick on a wire in a tropical location .,a man is playing a guitar .,2,en
man with black shirt and sunglasses makes something out of a balloon .,a man is playing a guitar .,2,en
two women stand in the street both wearing matching outfits with police like jackets that say polo .,a man is playing a guitar .,0,en
a young man sleeping next to a dog .,a man is playing a guitar .,2,en
"a man and woman talk to another woman , all looking concerned , in a room being decorated with stream and balloons .",a man is playing a guitar .,1,en
a man and a woman are holding hands on the shore of a lake .,a man is playing a guitar .,2,en
kids playing on the rocks with a steamboat in the background .,a man is playing a guitar .,2,en
a man is in front of a dry in a lau with both hands reaching into a bin or basket .,a man is playing a guitar .,0,en
a younger man dressed in tribal attire .,a man is playing a guitar .,0,en
"man in dark shirt , yellow shorts and yellow banda leaps to catch a white fr on a soccer court .",a man is playing a guitar .,1,en
a male sitting down enjoy his coffee at a coffee shop .,a man is playing a guitar .,2,en
a man wearing a short - sleeve blue shirt and carrying a blue backpack while using snow walking sticks trek through the snow with a woman,a man is playing a guitar .,1,en
a woman wearing a black dress and green sweater is walking down the street looking at her cell .,a man is playing a guitar .,1,en
asian people about to perform animal balloons .,a man is playing a guitar .,1,en
two women in bathing suits play on the beach .,a man is playing a guitar .,0,en
two people play horseshoe .,a man is playing a guitar .,1,en
a man with an afro and banda playing electric guitar .,a man is playing a guitar .,0,en
a skate with a black and white hat at the top of a jump on a snowy day .,a man is playing a guitar .,0,en
"a male singer , dressed in a long purple pea coat , holding an electric guitar , singing into a microphone , while a male in sunglasses and",a man is playing a guitar .,2,en
an elderly woman in a white jacket walking past a brick wall using a cain to support herself .,a man is playing a guitar .,1,en
mother and daughter are meeting for the first time .,a man is playing a guitar .,1,en
a person obscured in shadow in a gymnasium .,a man is playing a guitar .,2,en
"people are coming down a mo staircase built through a tunnel , which has three of those staircase .",a man is playing a guitar .,0,en
a man with a striped black and white shirt and a helmet clean wooden floor while another one helps him on the background .,a man is playing a guitar .,0,en
a group of people traveling in a small wooden boat .,a man is playing a guitar .,0,en
a dog jumps over the pole .,a man is playing a guitar .,0,en
two friends having a laugh .,a man is playing a guitar .,0,en
a woman in a gray sweater talking to another woman in a black jacket .,a man is playing a guitar .,2,en
people sitting on benches in a public area .,a man is playing a guitar .,2,en
a woman is leaning against a wall with her shoe off .,a man is playing a guitar .,1,en
people enjoying food outside of a restaurant .,a man is playing a guitar .,0,en
two people play horseshoe .,a man is playing a guitar .,1,en
a biker races .,a man is playing a guitar .,0,en
a man wearing shorts and a blue t - shirt is applying signage to the display window of an ice cream shop .,a man is playing a guitar .,1,en
people are sitting on a bench in front of buildings .,a man is playing a guitar .,0,en
women sitting at steel table next to a man standing and holding his bi .,a man is playing a guitar .,1,en
a boy and girl kissing in the sunset .,a man is playing a guitar .,0,en
a father is teaching his son how to ride a bicycle .,a man is playing a guitar .,2,en
a woman wearing very formal colorful clothing and she seems to be dancing .,a man is playing a guitar .,2,en
a young blond girl is eating her frozen snack while sitting on a bench next to a red stroll .,a man is playing a guitar .,1,en
"in front of a brick house with a straw roof and some figures , three children stand , two of them holding squares of black .",a man is playing a guitar .,0,en
a man in a green shirt and large beige hat is supervising a news that sells snacks and drinks .,a man is playing a guitar .,2,en
two men in hard hats and safety neon vest on sc working outside in the daylight .,a man is playing a guitar .,1,en
two men are wrestling ; one has the maple leaf of the canadian flag on his uniform .,a man is playing a guitar .,2,en
a man in a construction vest is looking at a vehicle .,a man is playing a guitar .,0,en
two men reno a brick wall outside .,a man is playing a guitar .,1,en
a man wearing white turns to hit a yellow tennis ball .,a man is playing a guitar .,0,en
a woman standing in front of a large tank at an aquarium turns around to look at the photographer .,a man is playing a guitar .,1,en
a white and black spotted dog is running through a grassy area .,a man is playing a guitar .,1,en
two men in neon yellow shirts bus saw a log in half .,a man is playing a guitar .,2,en
a man in a red sweatshirt pushes a giant redwood tree in a snowy forest .,a man is playing a guitar .,2,en
a skate youth does a trick on a rail .,a man is playing a guitar .,0,en
a black dog is swimming with a ball in his mouth .,a man is playing a guitar .,0,en
a woman sits in a market where she sells goods with her dog .,a man is playing a guitar .,1,en
people standing in front of a gray building with a sign that reads ' tickets available here ' .,a man is playing a guitar .,2,en
a group of dogs stand in the snow .,a man is playing a guitar .,1,en
a man in an alaska sweatshirt stands behind a counter .,a man is playing a guitar .,1,en
a child stands in a shower with clothes on .,a man is playing a guitar .,1,en
four people walk across stepping stones in a body of water .,a man is playing a guitar .,0,en
people on a nature walk with nets and backpack with trees to the left of them .,a man is playing a guitar .,2,en
the man in camouflage pants telephone 911 for the man in black sneakers who is lying on the ground having a heart attack .,a man is playing a guitar .,2,en
man and woman rowing on surf third rower in distance .,a man is playing a guitar .,2,en
two small girls are holding stuffed animals .,a man is playing a guitar .,2,en
"a young man in a white hat is playing golf with an older man wearing a blue , long - sleeve shirt and k .",a man is playing a guitar .,1,en
a man walks on the icy sidewalk .,a man is playing a guitar .,0,en
a young man wearing dark sunglasses smiling,a man is playing a guitar .,1,en
"a black women holding a sign that says , "" free hugs "" in the city .",a man is playing a guitar .,2,en
a cowboy riding a horse at a rodeo .,a man is playing a guitar .,0,en
performer who is wearing 2 hats a scary mask and a black and white robe .,a man is playing a guitar .,0,en
the red mo bike and its rider are airborne above the trees .,a man is playing a guitar .,1,en
two women in tank tops are drinking .,a man is playing a guitar .,1,en
the indian ' s are performing a sacred dance .,a man is playing a guitar .,1,en
a woman and a young girl are eating side by side .,a man is playing a guitar .,2,en
a boy plays basketball .,a man is playing a guitar .,1,en
the guy in the black jacket is standing on his hand on a check rec .,a man is playing a guitar .,1,en
