premise,hypothesis,label,lang_abv
seven young girls are being creative and making posters .,a man is sitting on a bench .,1,en
a crowd of people standing in front of statues .,a woman is getting ready to go swimming .,2,en
a man wearing noise - cancel head and a breathing mask works on a white sculpture .,the man is sitting down .,1,en
team member 39 waiting for the puck to come his way .,a man is sitting on a bench .,1,en
a man in an argyle shirt bends down to look at the good through the glass in an asian shop .,a young girl is playing with a toy .,0,en
a person with an orange shovel is shovel snow .,the man is wearing a white shirt .,0,en
"an old man with a cowboy hat , cowboy boots , and blue jeans stands next to a cabin and looks off into the distance as the sun",a group of people are having a conversation .,1,en
a man in a mask in the back of a service vehicle .,the man is sitting on a bench,0,en
a woman in br wear embrace an individual .,the man is sleeping .,0,en
a person dressed in winter clothes poses with a snow surrounded by snow covered landscape .,a man is playing a guitar in a bar .,0,en
child is laughing and playing around .,a man is wearing a green shirt .,1,en
a woman attends to her laundry in a lau .,the man is wearing a hat .,0,en
a young boy wearing an orange uniform stands on the field near a colorful ball .,a man is climbing a tree .,2,en
a boy and a woman are on top of large rocks at sunset .,the two men are old .,0,en
blond women working wearing gloves .,a man is sleeping .,2,en
a guy and a girl look down a mountain range .,a group of people are at a wedding .,2,en
a dark - haired man wearing a black and white t - shirt eats in a park surrounded by people .,a man is sitting on the ground .,1,en
a little girl standing in the middle of a street cleared for an on parade .,a man is outside .,2,en
a man wearing a white shirt and a blue jeans reading a newspaper while standing,a man is standing in front of a building .,1,en
a young redhead girl in a blue shirt is walking and talking with a boy in black pearl jam shirt .,the man is wearing a shirt .,1,en
two boys reading superhero books,the man is a farmer,0,en
a short - haired man in a dark camouflage jacket plays the saxophone on a street corner while people look on in the background .,a man is playing music .,0,en
a young boy dressed in black and green is laying down in a tent outside with items surrounding him .,the man is on a bike,0,en
a young boy wearing an orange jacket is sitting on a log in the fall .,the people are all drinking hot chocolate .,0,en
a crowd of people shopping at a street market in an urban area with buildings and a statue in background .,the man is playing golf .,2,en
pedestrian walking on the street,a woman is playing the guitar .,1,en
dog ya,a man is playing a guitar .,2,en
sexy young men stand on a balcony having a heated conversation .,the man is on a boat .,2,en
a woman with a cart of eggs walks in a market .,a man is watching a woman play guitar .,0,en
africans are walking down a dirt road with straw huts in the background .,a man is working on something .,1,en
a woman wearing a ball cap squat down to touch the cracked earth .,a man is standing on a beach .,1,en
a man and woman look upward on a city block .,a man is looking at a woman .,2,en
three men are working with their bikes in the shoulder of a road .,a man is on his way to work .,2,en
a baby is looking into what looks like a telescope .,a man is standing on a ladder .,0,en
four kids sitting at a table with food on several plates .,a man is walking .,0,en
an asian lady is holding a cup and sitting in front of a table covered in different foods .,the man is on a boat .,0,en
a woman with a black and white dress on is carrying a green plastic laundry basket in front of an apartment building .,the man is outside .,1,en
a bald man with a white shirt and watch eating food and drinking wine .,the man is at home sleeping,1,en
young children play on sc .,a man is in a canoe .,1,en
little girl with very curly hair drinking her cup of juice .,a man is making a sword .,1,en
"three men in yellow green safety vest sit on a bench ya , smoking and having a break .",the woman is a farmer,1,en
a person rolls down a hill riding a wagon as another watches .,the people are sitting down,0,en
a woman and a child both wearing red outfits walking up a street,the man is sitting on a chair .,0,en
a man is giving a presentation .,the woman is in a hurry .,0,en
a woman in a red long - sleeve shirt and blue jeans stands at the le speaking at or about g u wi,a girl is at the beach .,2,en
a half dressed man is sleeping on the sidewalk .,a man is admiring a painting of a building .,2,en
a man with a duff bag and girl pushing a cart walk down a street .,a man is walking,2,en
"a man is sitting on the floor , sleeping .",a man is playing an instrument .,0,en
two people are playing american football and one of them is trying to stop the other from throwing the ball .,a young man is walking down the street .,0,en
a person wearing a red shirt is falling off a white surf .,the man is in a hurry .,2,en
a woman holding bags behind plant .,the woman is outside .,0,en
"a boy wearing a yellow shirt , k pants , and blue and yellow shoes is hitting a tennis ball off a wall with a tennis",a girl is sitting in a chair .,2,en
a man wearing a red shirt is quickly polish a light wooden floor with a small green towel next to a yellow can of wood silk .,the man is going to drink a cup of water .,0,en
an african person standing in a wheat field .,a man walks with a cane .,1,en
an african - american male youth is riding a green bicycle while other people are looking at pictures on a board .,the man is at home sleeping,2,en
a dog plays with a stuffed animal .,a man is standing on a ladder .,1,en
painter re - creates old works of art in a museum .,a man is in a room .,0,en
a man takes a drink in the doorway of a home .,the artist is painting .,1,en
this is a clown at an elementary school .,the men are in the desert .,1,en
a man hammering nails on a shed .,a woman is sitting on a couch .,2,en
a brunette woman holding a little girl dressed in pink is kneeling next to a grazing white and brown ll in the fore of a hilly,a boy is playing the piano .,2,en
the man in the brown shirt is holding the hand of the long - haired child in front of a painting .,a woman is playing an instrument .,1,en
young men drink coffee and read books just outside some buildings on a sunny day ; an older bearded man in a dark blue shirt glances at a,a person is walking .,2,en
man is sha in the mirror .,a man is playing a game .,2,en
a boy spinning on a blue and yellow merry - go - round .,a man is sitting down .,1,en
a man a woman posing for a picture .,the man is playing drums .,1,en
a busy street with building lined up and people walking down the street outside and nighttime .,the man is an experienced climb .,2,en
"a woman in skirt , torn stockings and combat boots and a man in aviator and batman tank top walk down a city street .",a man is riding a bicycle .,0,en
a white man in a blue uniform is pushing away a black man in a red uniform while the two play soccer on a green field .,the men are at the bar .,1,en
three children are shooting guns in the woods .,a man is sitting on a couch .,2,en
four men stand in a circle facing each other playing brass instruments which people watch them .,a woman is standing next to a man .,0,en
a woman in tennis clothes running to hit a ball with her tennis rack .,the man is inside a building .,2,en
a man sitting on steps with a child as a by walks by .,the child is at home .,0,en
a man draws a car of a woman .,a group of men are sitting on the floor .,0,en
several people have gathered behind a group of other people who are sitting around a table .,a man is wearing a shirt,0,en
a young woman is wearing a paper crown at an outdoor event .,a man is in a boat .,2,en
a person in a red shirt is mo the grass with a green riding mo .,the man is sitting .,1,en
a black dog chases a boy wearing red and blue .,the woman is playing a game .,0,en
a group of men are riding a moving walkway .,a girl is playing soccer .,1,en
lab tech looking through a microscope in a lab .,a man is in a race .,0,en
two men are standing in a boat .,the man is playing an instrument .,0,en
a man speaking with two women .,the man is wearing a red shirt .,1,en
a man in a white striped shirt and blue jeans using a water hose to spray water on the ground of concrete ruins . f .,there are people outside .,2,en
two little boys wearing athletic jerseys are washing their hands in a public restroom .,the man is driving a car .,1,en
three women are sitting on a green bench looking out at the coast .,a man is working on a roof .,1,en
"a group of people on the bark , brightly light street , while one man with a gray hat holds a large colorful sign with arrows .",the man is in a band .,2,en
a man holding a briefcase on a subway .,a man is playing an instrument .,0,en
3 olympic winners posing for a photo on an advertised background,a man is surfing .,0,en
a small child in a red jacket is sitting on a man ' s shoulders and holding his head .,there is a man in a hat .,2,en
a white dog is running on a rocky beach .,the women are wearing red shirts .,1,en
cook handling hot tray with food on it .,a boy is playing with a toy .,0,en
a man in a military uniform is walking away from a line of military vehicles .,two men are in a boat .,0,en
a black man wearing a red belt and a white man wearing a blue belt are pictured in the act of practicing martial arts inside a building with,a man is holding a baby .,1,en
one young woman in a blue uniform helping another young woman in a blue sweatshirt with a white band around her arm .,the child is asleep in bed .,0,en
four men playing drums in very orange lighting while one of them is also drinking something out of a bottle .,the man is in a baseball cap .,0,en
a lit girl splash around in natural water .,a man is holding a camera .,0,en
"two black labs run , one carrying an orange dog toy .",a man is sitting on the sidewalk .,0,en
a girl in a blue leo hu hoop on a stage with balloon shapes in the background .,the man is wearing a white shirt .,1,en
a young girl in a pink shirt playing with her barbie .,a woman is riding a bike .,0,en
a girl and a boy hugging on a bridge,a man is sleeping .,1,en
a squirrel stands on its hind legs in the grass at the edge of a road .,the man is wearing a red shirt .,2,en
two children wearing hooded tops laughing with each other .,a woman is sitting down on a couch .,2,en
a boy in a gray and yellow jacket is raising his hand in front of others sitting around him .,the man is old .,1,en
"the brown , furry animal is walking in the snowy grass with a tree behind him .",the woman is wearing a white shirt .,2,en
a small group of people wait to board an mt bus .,a man is in the water .,2,en
four people and a baby are crossing the street at a cross .,"a man is wearing a shirt that says "" sign "" .",2,en
a surfer showing off his talent in public using a man - made water machine .,a woman is dancing with her child .,2,en
a land rover is being driven across a river .,the man is a professional chef .,2,en
a bunch of people are standing all together in a street with a building in the background .,the woman was climbing a tree .,1,en
the cyclist rides on a wooded path .,a man is wearing a white hat .,1,en
an ambulance is passing a man wearing a banda and girl .,a man is blowing up a drum .,1,en
two people wearing green rain sit in blue b that are otherwise empty .,a man is sitting on a bench .,0,en
five young indian girls dress in colorful dresses are holding hands and smiling forming a circle,a man is carrying a child in his hand .,0,en
a boy drag his sl through the snow .,two people are in a canoe,1,en
a little boy playing outside on the cement .,the woman is sitting on the couch .,1,en
a young black man is getting his hair buzzed off .,the boy is holding a pops .,2,en
"three people wearing black blind near a "" sal o planet "" sign .",the man is wearing a shirt .,0,en
male wearing brown shorts and black t - shirt in his bedroom with his feet on the desk talking on the phone .,a man is outside .,2,en
"one young boy in a yellow long - sleeve shirt and jeans sitting down , with five adults in front of him , one operating a video",a man is standing on a ladder .,0,en
a man in military uniform points as three other men watch .,a man is playing the drums .,1,en
the little boy is smiling as he crosses a rope on an assault course .,a man in a red shirt is riding a horse .,0,en
someone with a long pole that appears to have a spike on the end is pointing it at a red balloon on the other side of the wall,a woman is walking .,1,en
a woman wearing a red hat and red banda followed by a man in a red banda .,the man is sitting on the ground .,1,en
a man with black clothing is sweeping steps with a broom .,a woman is holding a baby .,0,en
an enthusiastic boy pushes a shopping cart containing a smiling boy .,a man is walking in a park .,1,en
a fire with a neon helmet and a pick inspect some debris with a flashlight .,the man is wearing a black shirt .,2,en
a boy at the beach runs through the surf towards three other people who are already in the water .,the people are watching a movie .,2,en
men wearing life vest speed across a body of water in an orange boat .,the men are standing in a park .,0,en
the man in the white shirt holds up a playing card .,a man is playing with his dog .,2,en
a lady in a white tank and shorts fixing a wooden drawer .,a woman is sitting down .,2,en
"a man dressed in a blue shirt , tan shorts , and a red baseball cap is examining a red antique car with an u . s .",a man is talking to a woman .,1,en
a blond - haired baby is sitting on the floor playing with toys while looking at a black and white cat .,a man is wearing a white hat .,2,en
elderly woman climbing up the stairs .,people are waiting for a show,0,en
"three men are playing soccer , two of them in blue uniforms and the other in a bright green uniform .",a man is wearing a blue outfit .,0,en
"three men , who appear to be asian , are con near a carved wall , while another man sits on a bench with his eyes",a little girl is playing with her friends .,0,en
several members of a community are celebrating with music and costumes during a festival or party .,the man is sitting on a couch .,0,en
a cobb street lined with houses and some pedestrians milling around .,a man is walking outside .,2,en
a woman and child are on a boat and the woman is looking out into the ocean through a scope .,the dog is sleeping .,0,en
two people standing behind a son display and a woman with a stroll on the other side .,a man is outside .,0,en
person walking down lighted tunnel with green hand .,the people are watching a movie .,2,en
a man with a light blue t - shirt outside in the open wearing red ear protection while firing a gun .,a group of people are walking down a street in a city .,1,en
a motor is flying through the air above a dirt path .,a man is sitting in a chair .,2,en
a man and wife stand at the alter as they get married .,a man is playing a guitar .,0,en
african woman walking through field .,the boy is playing in the park .,0,en
a man is holding an accordion while leaning against a brown fence that overlook some water .,a woman is sleeping .,2,en
a dog carries an object in the snow .,a woman is standing in front of a crowd .,1,en
"a group of men in blue shirts , banded hats , and red banda stand in a group .",a man is sitting on the ground .,1,en
construction workers on lifts working on a building .,a man is sitting down .,2,en
"bruce springsteen , with one arm outstretched , is singing in the spotlight in a dark concert hall .",the man is sitting down .,1,en
one many is fishing by a river with some buildings in the background while another man next to him is about to get a drink from the bottle,a man is sitting on a bench .,0,en
a woman in a red jacket walks down the street in the rain .,the man is wearing a green shirt,2,en
an indian woman is dancing with her partner .,a woman is outside .,1,en
three children are shooting guns in the woods .,the woman is wearing a long coat .,0,en
a red truck is parked next to a burning blue building while a man in a green vest runs toward it .,a man is holding a sign .,1,en
a b rider is in mid while on a dirt trail .,the person is going to a party .,1,en
in this picture it appears that a man is falling off a bull while attempting to ride the animal .,the man is dancing .,0,en
a boy in a beige shirt is sleeping in a car .,a man is standing in a field .,2,en
a man walking and carrying a notebook .,a man is playing music .,1,en
two men are shirt on the beach on a beautiful day .,a man is playing a guitar .,2,en
"a person of ind sex wearing a dark hat , neutral pants , and a red shirt walking up a rocky slope at high altitude in",the woman is taking a picture of her husband .,0,en
men wearing hats walk on the street .,a boy is playing with a ball .,1,en
a female camera operator is capturing some off - camera activity .,the man is a professional chef .,1,en
a crowd of people in stadium style seating appear di in the venue .,a man is sitting on the sidewalk .,1,en
a snow on a wide plain of snow,the woman is wearing a shirt .,1,en
women in costume stand on a stage .,the man is in the middle of the street .,1,en
a woman on the sidewalk blocks the sun from her eyes to peer down the street .,a dog is running in a field,2,en
two women sitting at a table with their hands together .,the man is watching a movie .,0,en
a group of football players is standing behind a coaching official .,a person is outside .,2,en
the young lady is giving the old man a hug .,two men are playing soccer .,2,en
five rodeo contestants wait their turn .,a man is working on a computer .,2,en
a group of children looking at the contents of a slide through a microscope displayed on a computer screen .,a man is playing the piano .,0,en
"woman in a blue dress and carrying a black purse , rides a sc down the street .",a man is walking across a street .,1,en
a person wearing a red shirt is falling off a white surf .,a group of people are on the ground .,1,en
a group of girls jumping over another girl who is laying on the floor .,a group of people are outside .,0,en
a guy in a yellow shirt performs a balancing act on a taught chain near a canal .,a man is sleeping .,2,en
a dog catching a fr .,a man is standing in front of a crowd .,2,en
a woman is in the middle of hitting a tennis ball .,a dog is running .,2,en
a black scientist looks through a scope examining a biological specimen ' s blood cells .,there are people watching others play .,2,en
a person swimming in a swimming pool .,a woman is taking a rest,2,en
a woman with a blue jacket around her waist is sitting on the ledge of some stone ruins resting .,a man is playing a guitar .,0,en
a tennis player in a pink outfit serves the ball to her opponent .,a man is eating chicken .,2,en
man doing carp or construction on top of an unfinished building .,a man is playing the drums,1,en
"two cars , one red and one blue , race each other in a very tight and competitive nature as fans stand by and watch .",a man is on a bike .,0,en
a woman tired from her long day takes a nap on her bed above the sheets and covers .,a girl is playing on the playground .,2,en
the german shepherd runs happily in the park .,a man is in a red shirt .,0,en
a surfer is performing a jumping stunt in the ocean .,two women are walking outside .,1,en
a woman with a pink purse walks down a crowded sidewalk .,the man is a farmer,1,en
children playing a video game together .,the man is sitting on a bench,0,en
the skate is jumping his board in the air while another skate watches .,a man is holding a microphone .,1,en
cheer in blue performing on a football field underneath a yellow football goal post .,the man is wearing a blue shirt .,0,en
a woman wearing purple and carrying a bag is walking out of a door .,a man is in a kay .,2,en
a street performer wearing sunglasses and painted in bronze colored paint is acting like he is filming with an old - fashioned prop film camera .,a man is smiling .,0,en
young child standing on a snow pile in a city .,a woman is preparing to swim in the pool .,2,en
a choir of youths are singing .,the man is playing a flute .,0,en
three men are playing fr in the woods .,the people are in a boat .,0,en
shirt man with long pole navigate covered boat down a palm tree lined river past a hut .,the man is on a beach .,0,en
"three men , one holding pipes , another holding a large object above his head , and one resting against the pipe bed on the truck , are",a man is sitting on a rock .,0,en
a beautiful bride walking on a sidewalk with her new husband .,the man is wearing a helmet .,2,en
a child in a maroon shirt playing next to a fountain .,two people are sitting on the steps .,0,en
"indy car , white , blue with a red mark on the roof , rounding a turn , in front of the white car .",a man plays a banjo .,1,en
women wearing a black top and glasses speaking into a blue tipped microphone with another woman beside her writing .,a man is going to work .,0,en
a girl in black pants doing exercises .,the woman is in the kitchen .,1,en
a lit girl splash around in natural water .,the man is wearing a green shirt,2,en
a boy in a yellow t - shirt and pink sweater talks on a cell while riding a horse through a crowd of people who are looking,a man is playing music .,0,en
a woman wearing a straw hat is sitting among a variety of different foods while holding a drink .,a woman is walking to her house .,2,en
a girl in black pants doing exercises .,the man is wearing a yellow shirt .,2,en
"six males , four with shirts and two without , have taken a break from their construction work on a building .",a man is on a bike .,0,en
a couple walks hand - in - hand in front of victorian - style building and a wall with a large sleeping baby painted on it .,a man is sitting in a chair .,1,en
a man in a short mohawk and beard .,the woman is on the beach .,0,en
a dog biting a man ' s rear,a man is playing a guitar .,0,en
four men with baseball caps and logo t - shirts laughing together at a table .,the man is a famous musician .,1,en
people are riding their bikes down a road .,the two men are in a stadium .,1,en
a man in a jacket wearing black boots walking on the truck of a fallen tree over a ravine .,a man is sleeping .,2,en
a soccer player in white kicks a ball as another soccer player lung towards the ball and a third soccer player in red follows close by .,the man is a musician .,0,en
three men are working with their bikes in the shoulder of a road .,a man is speaking to a group of people .,1,en
a man in a army uniform is holding a picture with trees in it .,a man is riding a bicycle .,0,en
construction workers use cables to hang from the sides of buildings .,a man is standing by a wall .,1,en
"two sweet young girls on ice skate , hands up and holding on to each other get ready to begin their performance on the ice .",the man is on his way home from work .,0,en
an old woman walking down the street .,a person is sitting on a bench .,1,en
a man is resting in a small stream with a hat over his head while the little waterfall is pouring in the background .,the man is sitting on a bench .,2,en
several younger people sitting in front of a statue .,a man is making a drink .,1,en
"soccer players are playing a night game and the ball is in the air , while the two teams fight for it .",a man is wearing a shirt .,1,en
a professional baseball catcher and behind him an umpire are knelt in action position and are awaiting the pitch .,a man is standing in a doorway .,1,en
a group of men on a beach are chasing another man who is carrying a ball .,a man is playing an instrument .,1,en
"three children and adults in the background , all pretend to sleep .",a man is playing a guitar .,0,en
two old women sitting on curb next to flowers,a man is sleeping on a bench .,1,en
a couple walking their dog .,two dogs are running .,2,en
a gentleman with his eyes closed playing an old flu into a microphone .,a boy is playing in a bowling alley .,1,en
two people standing behind a son display and a woman with a stroll on the other side .,a man is skate .,2,en
a man is making a phone call .,a man is sitting on a chair .,1,en
a tractor decorated as a float for a parade,a man is wearing a blue shirt,2,en
a man is walking past a large sign that says e . s . e . electronics .,a group is riding bikes .,1,en
some dogs are running on a deserted beach .,a man is wearing a shirt .,2,en
an accordion player with a bright colored shirt sitting outside in a chair with a young man in a blue t - shirt passing by .,the man is wearing a blue shirt,0,en
a white - clad soccer player is attempting to intercept a soccer ball that is quickly approaching the goal box .,a person is jumping .,0,en
a young boy gets his photo taken with mr . and mrs . clause .,a woman is with a dog .,2,en
a man in a black hat opens his mouth .,two men are watching a performance .,1,en
a crowd of people are packed into a subway car .,a man wearing a cowboy hat is standing on a beach .,1,en
a bi is attempting a trick on a wire in a tropical location .,a woman is sitting on a bench .,2,en
man with black shirt and sunglasses makes something out of a balloon .,a man is holding a large object .,2,en
two women stand in the street both wearing matching outfits with police like jackets that say polo .,the lady is putting on makeup .,0,en
a young man sleeping next to a dog .,the man is in a race .,2,en
"a man and woman talk to another woman , all looking concerned , in a room being decorated with stream and balloons .",a woman is walking down the street .,1,en
a man and a woman are holding hands on the shore of a lake .,the woman is indoors .,2,en
kids playing on the rocks with a steamboat in the background .,a group of people are sitting on a bench .,2,en
a man is in front of a dry in a lau with both hands reaching into a bin or basket .,a group of people are in a room .,0,en
a younger man dressed in tribal attire .,a man is in his living room .,0,en
"man in dark shirt , yellow shorts and yellow banda leaps to catch a white fr on a soccer court .",a woman is sleeping on a bench .,1,en
a male sitting down enjoy his coffee at a coffee shop .,the girl is wearing a pink shirt .,2,en
a man wearing a short - sleeve blue shirt and carrying a blue backpack while using snow walking sticks trek through the snow with a woman,the man is searching for his family .,1,en
a woman wearing a black dress and green sweater is walking down the street looking at her cell .,a man is wearing a shirt .,1,en
asian people about to perform animal balloons .,the woman is wearing a dress .,1,en
two women in bathing suits play on the beach .,two people are sitting on a bench .,0,en
two people play horseshoe .,the woman is going to work in the store .,1,en
a man with an afro and banda playing electric guitar .,the man is wearing a red shirt .,0,en
a skate with a black and white hat at the top of a jump on a snowy day .,a boy is wearing a white shirt .,0,en
"a male singer , dressed in a long purple pea coat , holding an electric guitar , singing into a microphone , while a male in sunglasses and",a man is working on a building .,2,en
an elderly woman in a white jacket walking past a brick wall using a cain to support herself .,the people are at a party .,1,en
mother and daughter are meeting for the first time .,the man is on a boat .,1,en
a person obscured in shadow in a gymnasium .,a woman is dancing on a stage .,2,en
"people are coming down a mo staircase built through a tunnel , which has three of those staircase .",a girl is playing basketball .,0,en
a man with a striped black and white shirt and a helmet clean wooden floor while another one helps him on the background .,a man is playing basketball .,0,en
a group of people traveling in a small wooden boat .,a man is playing the piano .,0,en
a dog jumps over the pole .,a young boy is playing on a swing .,0,en
two friends having a laugh .,a man is checking his phone .,0,en
a woman in a gray sweater talking to another woman in a black jacket .,a man in a red shirt is working on his computer .,2,en
people sitting on benches in a public area .,a man is looking at a woman .,2,en
a woman is leaning against a wall with her shoe off .,a man is sitting on a bench .,1,en
people enjoying food outside of a restaurant .,a man is trying to put a drink from a bottle .,0,en
two people play horseshoe .,a man is walking on a dirt road .,1,en
a biker races .,a woman is wearing a dress .,0,en
a man wearing shorts and a blue t - shirt is applying signage to the display window of an ice cream shop .,the men are in a bar .,1,en
people are sitting on a bench in front of buildings .,a man is falling off his bike .,0,en
women sitting at steel table next to a man standing and holding his bi .,a man is standing in a room .,1,en
a boy and girl kissing in the sunset .,a man is riding his bike .,0,en
a father is teaching his son how to ride a bicycle .,the man is on a bike .,2,en
a woman wearing very formal colorful clothing and she seems to be dancing .,a man is trying to get his hair,2,en
a young blond girl is eating her frozen snack while sitting on a bench next to a red stroll .,the man is playing a guitar .,1,en
"in front of a brick house with a straw roof and some figures , three children stand , two of them holding squares of black .",a person walks down a sidewalk .,0,en
a man in a green shirt and large beige hat is supervising a news that sells snacks and drinks .,a man and a woman are standing in a room with a man .,2,en
two men in hard hats and safety neon vest on sc working outside in the daylight .,the people are in a city .,1,en
two men are wrestling ; one has the maple leaf of the canadian flag on his uniform .,a person is holding a camera .,2,en
a man in a construction vest is looking at a vehicle .,a man is sitting in a chair .,0,en
two men reno a brick wall outside .,a man is walking with a woman in the forest .,1,en
a man wearing white turns to hit a yellow tennis ball .,a man is swimming in a pool .,0,en
a woman standing in front of a large tank at an aquarium turns around to look at the photographer .,a group of people are at a wedding .,1,en
a white and black spotted dog is running through a grassy area .,a man is holding a sign .,1,en
two men in neon yellow shirts bus saw a log in half .,a man is riding a bull .,2,en
a man in a red sweatshirt pushes a giant redwood tree in a snowy forest .,the man is sleeping,2,en
a skate youth does a trick on a rail .,a man is eating a hot dog .,0,en
a black dog is swimming with a ball in his mouth .,there are three people on a table .,0,en
a woman sits in a market where she sells goods with her dog .,a man is playing soccer .,1,en
people standing in front of a gray building with a sign that reads ' tickets available here ' .,the man is serving food .,2,en
a group of dogs stand in the snow .,a man is holding a tennis rack .,1,en
a man in an alaska sweatshirt stands behind a counter .,the man is driving his car .,1,en
a child stands in a shower with clothes on .,a young man is playing his guitar .,1,en
four people walk across stepping stones in a body of water .,the man is holding a camera .,0,en
people on a nature walk with nets and backpack with trees to the left of them .,the man is wearing a red hat .,2,en
the man in camouflage pants telephone 911 for the man in black sneakers who is lying on the ground having a heart attack .,the man is walking down the street .,2,en
man and woman rowing on surf third rower in distance .,a man is playing with his dog .,2,en
two small girls are holding stuffed animals .,the man is playing a guitar .,2,en
"a young man in a white hat is playing golf with an older man wearing a blue , long - sleeve shirt and k .",a man is wearing a hat .,1,en
a man walks on the icy sidewalk .,a woman is looking at a fruit stand .,0,en
a young man wearing dark sunglasses smiling,a man is playing with a dog .,1,en
"a black women holding a sign that says , "" free hugs "" in the city .",the child is playing outside .,2,en
a cowboy riding a horse at a rodeo .,a girl is riding a roller coaster .,0,en
performer who is wearing 2 hats a scary mask and a black and white robe .,the man is in a park .,0,en
the red mo bike and its rider are airborne above the trees .,a woman is sitting on a bench .,1,en
two women in tank tops are drinking .,a man is playing music .,1,en
the indian ' s are performing a sacred dance .,a woman is sitting on a boat .,1,en
a woman and a young girl are eating side by side .,the man is in a group of people .,2,en
a boy plays basketball .,a man is standing on a stage .,1,en
the guy in the black jacket is standing on his hand on a check rec .,the dog is playing fetch .,1,en
a man and a young girl swimming .,a man is wearing a black shirt .,1,en
