,id,premise,hypothesis,lang_abv,language,label
35,14fa262750,"The almost midtown Massabielle quarter (faubourg de Massabielle), is sometimes described as the most picturesque in the city.",The Massabielle quarter is considered the most photogenic.,en,English,0
36,7e89da4ba3,4) Not enough is known about how nontransportation costs vary with distance.,The ways in which distance affects nontransportation costs is a subject we don't have enough information on.,en,English,0
37,6bb2d551f1,i am surprised though that we do have so many that are in politics down here,I am surprised that not many of them are in politics down here.,en,English,2
39,1589ccaac1,The draft treaty was Tommy's bait.,The treaty bait was not for Tommy.,en,English,2
40,8289cdfc7d,"Therefore, the number of boilermakers may actually grow more quickly than what was assumed.",The number of boil makers will decrease drastically as expected.,en,English,2
44,80001fec89,"As long as Assad lives, he can manage these troubles and keep an agreement with Israel.",As long as Assad doesn't die he will be able to take care of the troubles.,en,English,0
45,d999bfa2a1,The four Javis children? asked Severn.,Severn knows everything about the Jarvis children.,en,English,1
46,d4dd5ba80d,My brain refusing to command properly.,My brain was not commanding properly.,en,English,0
47,ad4b9214af," ""So your girl writes that your little farewell activity didn't fare so well, eh?"" he chortled.",Your farewell activity didn't go well.,en,English,0
49,097b4dfe2a,You have to walk through it).,You need to pass through it on foot.,en,English,0
50,b0c2761b43,"No, I exclaimed, astonished. ","""No!"" I cried out in shock. ",en,English,0
54,37c01740c6,"Bauerstein had been at Styles on the fatal night, and added: ""He said twice: 'That alters everything.' And I've been thinking. ",Styles is responsible for what happened. ,en,English,1
55,3d3149ec45,"Long ago--or away, or whatever--there was a world called Thar?? and another called Erath.",Erath is the only world that has ever existed.,en,English,2
56,6c12f1e611,"Then, all the time, it was in the spill vase in Mrs. Inglethorp's bedroom, under our very noses? I cried. ","So it was hidden in another country, impossible for us to locate?",en,English,2
57,9832b523a0,because i always had to do it and so i just pay someone else to do it and they do the they do the cutting they fertilize they um edge and um i think this year i'm going to have some landscaping put in,I have never developed a love for gardening. ,en,English,1
58,71bcd59dd6,' She gets a little obsessive about her sauce.,Her sauce is so complicated that she's obsessed with perfecting each ingredient. ,en,English,1
59,aab0894630,"Rather, kids today are not only little bundles of joy but also are perhaps the ultimate symbols of worldly success and status.","While kids today are symbols of success and status, and their parents are too. ",en,English,1
61,7ca8ba219d,China's civil war sent distressing echoes to Hong Kong.,Japan fought a civil war.,en,English,2
67,e390988e6f,"The seven grants flow from a new Nonprofit Capacity Building program at the foundation, part of a trend among philanthropists to give money to help organizations grow stronger, rather than to the program services they provide.","The grants flow from a Nonprofit Capacity Building program at the foundation, exemplifying a trend among philanthropists to give money to grow organizations and then to take them over.",en,English,1
68,9e42108ae0,"Or, eligibility could be restricted to those who have already been pregnant, or at least sexually active; to those over age 13, or under age 21; or some combination thereof.",The age of consent is age 21 as well.,en,English,1
72,4acead92d8,"In this respect, bringing Steve Jobs back to save Apple is like bringing Gen.",Steve Jobs came back to Apple.,en,English,0
75,7b6768c074,or they had somebody at home that was ill that they had to tend to i mean you can't make it everybody,They did not have anything to do.,en,English,2
77,11788e6295,"from generation to generation (Michiko Kakutani, the New York Times ). A few, like Pearl K. Bell in the Wall Street Journal , find a surfeit of sweetly obedient docility in the novel and say parts are perilously at the edge of sentimentality.",They complained that the novel lacked any emotions.,en,English,2
79,75cbac107c,"Hey, no problem, a fine policy.","No worries, a good policy.",en,English,0
81,5b09f9eabb,"The m??tro (subway) is the fastest way to move around the city, but the buses, both in the capital and the other big towns, are best for taking in the sights.",Taking the subway is a good way to experience big city life. ,en,English,2
83,c5c2c039e5,"They were so sure of themselves that they took it for granted he had made a mistake.""",They simply assumed that he'd made a mistake.,en,English,0
85,604b64ca7f,i'm on i'm in the Plano school system and living in Richardson and there is a real dichotomy in terms of educational and economic background of the kids that are going to be attending this school,There is a huge amount of poor students and very few wealthy.,en,English,1
87,716eeeea2a,okay and and i think we just hang up i don't think we have to do anything else,"That's it, we just hang up, right? ",en,English,0
88,5de2aa81ed,"They capitalized on the natural resources by using the salt to cure fish, which they exported to their home country.",They used salt to cure fish and sent it back home. ,en,English,0
90,f0e86993ca,"News berates computer users for picking obvious, easily cracked passwords and chastises system administrators for ignoring basic security precautions.",News outlets do not blame users or system administrators for security breaches. ,en,English,2
92,b3c705a914,"To their good fortune, he's proving them right.",He is showing that they were correct.,en,English,0
93,99b71d209e,Too bad it chose to use McIntyre instead.,McIntyre was picked to be used as the closing pitcher.,en,English,1
97,8bbc9fd459,and the other thing is the cost it's almost prohibitive to bring it to a dealer,It's cheap to bring it to a dealer.,en,English,2
98,3c2e8a360d,WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured.,A whole life policy is the best choice for someone who expects to live to the age of 90.,en,English,1
99,b1ad9fb1ef,"2466, discusses the four collections, which include certification of a minimum number of installed and operating microwave links and the maintenance of a computer-readable database.",2466 discusses four collections.,en,English,0
100,7cc9bb38f9,"The Women's Haven, which provides shelter and outreach to domestic-violence victims, already has a full-time attorney.",There is a full-time attorney at the Women's Haven already.,en,English,0
101,a8bcd9ccf7,uh high humidity,Air with increased water content.,en,English,0
103,80f6ac92a4,"We need to look at the implications that these differing roles have for a range of issues, such as SES core competencies, performance standards, recruitment sources, mobility, and training and development programs.",We can completely ignore the implications of the roles on mobility.,en,English,2
104,eb04f1a8f0,yeah yeah yeah well because that's the way they they might seem outwardly but boy there's a lots going on in there,There is another layer to the surface.,en,English,0
105,e7ad6c38fc,"In this situation, the value to the mailer of the improved service would be considered along with the cost of doing the work.",No consideration will be given to the cost of doing the work in this case.,en,English,2
106,ca2f6459bd,Is there adequate information for judging generalizability?,Output information is way too much generalized.,en,English,1
107,212fc2ad66,The political cleansing that did not happen through the impeachment process leaves Clinton with a great and serious burden.,The impeachment process involved Clinton's husband as well.,en,English,1
109,d5249d1219,isn't it i can remember i've only been here eight years but i can remember coming to work from i used to live in Wylie and i could see downtown Dallas,I have only been here for two years.,en,English,2
110,a38659ed31,"Over most of the 1980s and 1990s, the U.S. was able to invest more than it saved by attracting financing from abroad.",The US could save more than it invested in the 1980's and 90's.,en,English,2
114,a49ecd3734,"Credibility is a vital factor, and Jim Lehrer does, indeed, have it.",Everyone would believe whatever Jim Lehrer said.,en,English,1
115,952a08b1f3,There should be someone here who knew more of what was going on in this world than he did now.,He knew he was the only person with any idea of what was going on. ,en,English,2
120,ef98cc7a44,"Its scorecard included measures for accuracy, speed and timeliness, unit cost, customer satisfaction, and employee development and satisfaction.",Accuracy and speed are the first measurements listed on the scorecard.,en,English,1
124,dd883e1f46,"On the left of the entrance ramp is the open space once occupied by the Temple of Athena, close to which are the remains of the Pergamene library.",There are no remains visible from the ramp.,en,English,2
126,640c0172a6,"If you are keen to learn Israeli folk dancing, the Bicurei Ha'etim Cellar in Heftman Street will teach you.",The Bicurei Ha'etim Cellar is the only place to learn Israeli folk dancing.,en,English,1
127,c4e8713899,"Or Sherlock Holmes?""",Was it Sherlock Holmes?,en,English,0
129,a14e13370f,"Though the two cities remained unlinked by rail, this was about to change quickly.",The two cities did not have a railway between them.,en,English,0
130,39d065817a,Tourist Information offices can be very helpful.,Tourist Information offices are never of any help.,en,English,2
131,101dc2c1bb,"More detailed implementation plans also will be necessary to address business system, processes, and resource issues.","Detailed implementation plans are necessary to address business system, processes and resources ",en,English,0
134,0c338feb50,"First, injected cannabinoids may not mirror the effects of smoked marijuana.",Smoking marijuana gets people higher than injected them with cannabinoids.,en,English,1
135,617f1dc5f2,The data would be presented as required supplementary stewardship information accompanying the consolidated financial statements of the Federal Government but not in individual reports of its component units.,The data would be included in individual reports concerning the constituent units of the federal government.,en,English,2
136,8adeb402ee,Boca da Corrida Encumeada (moderate; 5 hours): views of Curral das Freiras and the valley of Ribeiro do Poco.,"""Views of Curral da Freiras and the valley of Ribeiro do Poco"" is chapter 5. ",en,English,1
139,a7a2a9fc5e,"INTEREST RATE - The price charged per unit of money borrowed per year, or other unit of time, usually expressed as a percentage.",Interest rate can range from zero to fifteen percent. ,en,English,1
140,e7bc15b1b9,that's hilarious to to get that jack off that's right oh that's a funny story,I will enjoy telling that story.,en,English,1
141,f50208a07e,"Mr. Erlenborn attended undergraduate courses at the University of Notre Dame, Indiana University, the University of Illinois, and Loyala University of Chicago.",Mr. Erlenborn attended classes in at least four different universities.,en,English,0
142,00ddb7aea4,"So unlike people who are fortunate enough to be able to afford attorneys and can go to another lawyer, our clients are simply lost in the legal system if they cannot get access to it from us.",Our clients can afford attorneys and bouncing between lawyers.,en,English,2
143,b0ee325483,Finally the woman opened her eyes feebly.,She opened her eyes. ,en,English,0
145,a5484dd197,The finest is the huge conical-roofed Tomb/Pillar of Absalom (King David's son).,The Tomb/Pillar of Absalom has a large cone-shaped roof.,en,English,0
148,0393073e4a,"Unless the mention of the Ritz was an accidental remark?""",Was mentioning the Ritz accidental?,en,English,0
149,09b8ecb23f,They are the four sentences you always insert in plagiarized papers to throw the professor off track.,These four sentences force professors to skim over the paragraph and inadvertently skip the plagiarized information.,en,English,1
151,0477c22e6d,This man claims that he has been robbed en route and is stranded without money or his plane ticket in an airport somewhere in Europe or the Middle East.,He claimed he was robbed on the way and has no money or a plane ticket,en,English,0
152,3074381515,"It was planned in the 1820s as a symbol of Scottish national pride and designed as a mini-Parthenon, in deference to the neoclassical style popular at the time.",It was designed to be a smaller version of the Parthenon.  ,en,English,0
154,489847e94d,"Although claims data provide the most accurate information about health care use, ensuring adequate follow-up for purposes of obtaining information from patient self-report is important because many people do not report alcohol-related events to insurance compa-nies.",Alcohol related events that contribute to disease are often unreported by patients to their insurance companies. ,en,English,0
155,a235cb04e1,"Could you please speak to this issue, with regard to the social ramifications of gum chewing in public?","You don't have an opinion on gum chewing in public, I see.",en,English,2
156,772391afdf,The H-2A worker must depart the country and is subject to deportation for failing to do so.,The H-2A worker committed a crime.,en,English,1
157,e90c9dda0f,The researchers found expected stresses like the loss of a check in the mail and the illness of loved ones.,The stresses affected people as the researchers expected.,en,English,0
159,8c3a69f486,You have to walk through it).,You can stay where you are.,en,English,2
160,836766ea05,"The 28 sta?­tues representing the kings of Judah and Israel have been remodeled after the drawings of Viollet-le-Duc; the original ones were pulled down during the Revolution, since they were thought to be the kings of France.",The people who pulled down the statues were executed.,en,English,1
163,648feccb3d,Ca'daan closed the door behind them and retied the not.,"Ca'daan closed the door as they entered, and bound it shut with rope.",en,English,0
164,b23bdc1a30,Small towns like Louisian lay scattered all over the Oil Fields; the main train line branched between them.,A main train line went between all the small towns.,en,English,0
166,b5ca4c01f3,i think that the people that are um have um a lower income which you automatically equate with lower education,I think higher income equals lower education.,en,English,2
167,44bad2a664,"Be of good cheer,","Be of good cheer, for beer time is near.",en,English,1
168,5594f92e61,"In reviewing this history, it's important to make some crucial distinctions.",There's no point in analyzing the past.,en,English,2
169,970707c7f5,"The Black River, at 71 km (44 miles), is the longest in Jamaica; it was an arterial route used to transport rum and lumber from the inland plantations.",The Black River received its name because the water in its stream is actually black.,en,English,1
170,3fa01b03f8,in our town of five thousand we have one that is uh local FM AM station and their news is fed from CNN too uh it's more of uh,The town radio station never relied on any national news sources.,en,English,2
172,0bc8210460,There are certain categories of control activities that are common to all agencies.,Control activities such as safe business practices are universally common across all agencies.,en,English,1
174,d37166ccce,"More than 100 judges, lawyers and dignitaries were present for the gathering.",Only two people showed up for the gathering.,en,English,2
175,1575809c3c,He had forgotten about Adrin.,He remembered Adrin all this time.,en,English,2
176,db6d9923f3,"In other words, the paper exhibited the all-too-typical journalistic tic of exposing potential conflicts of interest involving politicians while ignoring those involving journalists.","The paper shows, the journalists exposing potential conflicts of interests around politicians, but never exposing other journalists.",en,English,0
177,1e9caaf93c,The final reason for the teen renaissance is boomer self-obsession.,Boomer self-obsession is one of the reasons for teen renaissance.,en,English,0
178,9d597f75c9,"After the death of Columbus in 1505, Jamaica became the property of his son Diego, who dispatched Don Juan de Esquivel to the island as Governor.","Jamaica was inherited by Columbus' son, Diego.",en,English,0
182,56d48aa27a,"They won't be killing off George Clooney's character at ER like they did to Jimmy Smits at NYPD . Instead, Dr. Doug Ross is being forced out over the next two episodes because the maverick heartthrob gives an unauthorized painkiller to a terminally ill boy (Thursday, 10 p.m.).",George Clooney will lose his job because the producers don't think he can act. ,en,English,2
183,fd0d3579c4,"120 ""You do not think I ought to go to the police?""",Should I not go to the police?,en,English,0
184,e21db52eb1,yeah because those things i think would just snap you know,Because they would survive easily.,en,English,2
185,f9f20650aa,We have taken a number of steps to empower and invest in our employees.,The steps we have taken put programs for the employees in place.,en,English,0
187,85cc0bfc3d,"In the case of speech, Fiss appears to believe that the reason the American public is less enlightened than he would wish it to be concerning matters such as feminism, the rights of homosexuals, and regulation of industry is that people are denied access to the opinions and information that would enlighten them.","People in America are very well informed on controversial topics, according to Fiss.",en,English,2
189,e1cfb4f6e6,"The rustic Bras-David picnic area, for example, is set alongside a burbling stream.",The picnic area is not near a stream.,en,English,2
190,13b2d2328b,and uh well if you if you got got him a power mower it'd probably take him a lot less time to do it but i enjoy doing it i feel good doing it uh i i feel a lot better doing it with a power mower with that with a  with a pull tractor on it so i don't have to push so hard,He would mow your entire yard in eight minutes if he was using a power mower.,en,English,1
192,dc5c4be838,um-hum yeah i saw that for the first time yesterday in the evening,I was very impressed when I saw that yesterday.,en,English,1
194,0ef9524ce7,"Bauerstein.""",Alfred Inglethorp,en,English,2
196,0cc7c4de1b,What have we for lunch? ,What are we going to eat for lunch?,en,English,0
197,840da92d5e,A poll of Hong Kong residents finds them sanguine about the city's future.,A poll of Hong Kong residents finds them more sanguine about the city's future than before. ,en,English,1
200,e0bec36772,well i meant when when you were when you were growing up i mean like Galveston,You grew up in Galveston and I grew up in Dallas.,en,English,1
201,fb3122d537,I am so constituted as to be unable to give away money with any satisfaction until I have made the most careful inquiry as to the worthiness of the cause.,I have to research a cause carefully before donating money to it.,en,English,0
202,2eca16560f,you know they they like what they're doing they you know they feel good about what they're doing that type of thing it's more,You can see the way that their whole demeanor has changed.,en,English,1
203,bb14b19517,Can I help you?',I'm not helping you at all.,en,English,2
204,ee4804f903,"The traditional opening time for many hotels is the Orthodox Easter, although some do not open until the end of April.",The hotels don't open in Halloween.,en,English,1
205,a080e008b4,medical and surgical expense coverage.,Medical and surgical expenses were fully covered,en,English,1
206,2d1499038c,exactly and when i'm sitting here on the sofa cross-stitching and all of a sudden somebody a man's got their hand on my door knob it's like uh like oh no and so i don't i don't like that and i guess the only way to prevent it would be just to pass a city ordinance to prevent that or,A man tried to enter the house so that he could rob it. ,en,English,1
207,22cbc0822e,"The Chinese calendar was used to calculate the year of Japan's foundation by counting back the 1,260 years of the Chinese cosmological cycle.",Japan's foundation was determined by using the Chinese calendar.,en,English,0
208,1bdedd4aad,yeah pay fifteen yeah yes i know yeah and when you pay fifteen dollars a month it sure takes a long time,"When you pay $100 a month, it take a long time.",en,English,2
210,e33426bedc,"Thus, the net scale benefit is initially positive, whether or not we adjust for the wage premium.",Initial net scale benefits are negative when adjusted for the wage premium.,en,English,2
213,906a6e0a56,"Look here, you've no business to come asking for me in this way.",There's no reason for you to be asking for me like this.,en,English,0
215,d2c7168834,The experts point out that it is not age alone that determines a Chinese antique's value the dynasties of the past had their creative ups and downs.,Collectors base the price of their chinese antiques off of their age only.,en,English,2
216,7d508126f5,Small towns like Louisian lay scattered all over the Oil Fields; the main train line branched between them.,There was only one town in the oil fields.,en,English,2
219,88e6badfb0,"Regulators may not be totally supportive of a more comprehensive business model because they are concerned that the information would be based on a lot of judgment and, therefore, lack of precision, which could make enforcement of reporting standards difficult.",Difficulty of reporting standards can be a huge obstacle for this business model.,en,English,0
221,d3494c9134,"First, get the basics right, that is, the blocking and tackling of financial reporting.",The basics need to be right first.,en,English,0
222,bd5170cc00,"In a still faintly Victorian atmosphere, Dinard has preserved all the best assets of a good luxury villas and long, paved promenades, plush hotels, elegant boutiques, discothyques, casino, parks and gardens, and an Olympic-size public swimming pool.",Dinard maintains a Victorian sensibility while also including luxury elements.,en,English,0
223,7fc0868da7,"Along with each step, certain practices proved especially important to the success of their efforts.",No practices were helpful ,en,English,2
225,e8c24ef38d,But there's SOMETHING.,There's absolutely nothing in there.,en,English,2
227,baf8d9d77e,"It's easy to overdose on the many temples, palaces, and museums in India.",You'll find a scarcity of palaces and temples across India.,en,English,2
228,699cda3b5d,Very simply. ,Not complicatedly.,en,English,0
229,a5051deb4b,yeah they were my favorite team for a while,They had been my favorite team. ,en,English,0
232,e0620a1cf3,"This historically renowned freshwater lake, known both as the Sea of Galilee and Lake Kinneret (meaning a harp, after its shape), is just 58 km (36 miles) in circumference.",The Sea of Galilee has also been known as Lake Kinneret for hundreds of years.,en,English,1
233,75d19cb0b4,because i i mean i don't know it's just something i think something we need,"I think we could do without it, but it would change our quality of life greatly.",en,English,2
234,aee859bf43,Jon walked back to the town to the smithy.,Jon continued on into the mountains.,en,English,2
235,a044773c45,The Leland Act  (1) simplify the household definition,The household definition can be simplified.,en,English,0
238,47e70f26a2,The data would be presented as required supplementary stewardship information accompanying the consolidated financial statements of the Federal Government but not in individual reports of its component units.,Individual reports that focus on its component units wouldn't include the data.,en,English,0
242,44e1508411,"Initial demand for land in the New Town was not spectacular; in fact, incentives had to be offered to entice buyers.","At first, demand for land in the New Town was high and property sold swiftly.",en,English,2
243,090f0faa90,well they're so close to an undefeated undefeated season they can taste it and they wanna make history so i don't think they're gonna lack for motivation,"Unless they suffer any losses, they'll remain motivated.",en,English,1
244,f810ce4215,"Thus, the net scale benefit is initially positive, whether or not we adjust for the wage premium.",Net scale benefits can become negative over time.,en,English,1
247,d853d09c6b, It was utterly mad.,It was perfectly normal.,en,English,2
248,947c1b6778,saving that did not finance domestic investment would increase net foreign investment and improve the current account balance.,Saving could increase net foreign investment  substantially and quickly. ,en,English,1
250,188b16bfcc,"It has long been influenced by their differing traits, and has assimilated their various customs and practices.",Their different traits have had no impact on any cultures.,en,English,2
251,685d9362cc,"But is the Internet so miraculous an advertising vehicle that Gross will be able to siphon off $400 per person from total ad spending of $1,000 per family--or persuade advertisers to spend an additional $400 to reach each of his customers?","Was the internet so great at advertising that Gross would pay $400 per person per ad, totalling spending $1000 per family or persuade adversisers to shell out an extra $400 to reach each customer?",en,English,0
252,ea1980d04a,The questions may need to be tailored to,There are some questions that may or may not need to be tailored to.,en,English,0
256,dd5cf5be4a,have you read Tom Clancy,He personally liked Tom Clancy.,en,English,1
260,712c13e109,"That's it. The girl looked at him, then passed her hand across her forehead.",The girl turned away from him and kept her hands still.,en,English,2
261,60a3616f73,Melatonin,It has ten grams of melatonin.,en,English,1
262,fd6995f7a4,Diets for men in their prime,A diet for men made up completely of meat. ,en,English,1
265,07acbc212e,yeah it's just a matter of education i think,Yeah but education doesn't matter.,en,English,2
266,20280e311d,Three more days went by in dreary inaction.,The days passed by slowly.,en,English,1
267,e83a8ebb40,Every August young women convene to light joss sticks and some even climb the nine-meter (30-ft) rock to pray for good husbands.,Women find husbands after climbing the rock and praying.  ,en,English,1
268,9c540a00f9,It was still night.,"The sun hadn't risen yet, for the moon was shining daringly in the sky.",en,English,0
269,5fb34600a3,"For example, if Ovitz's five-year deal was worth, say, $100 million, and if the compensation committee had added to that a front-end grant of free Disney shares worth, say, $50 million, then--assuming that Ovitz finished his five-year contract period--the cost to Disney would be $150 million.",The five-year deal will be worth $100 million,en,English,1
270,4241535fa7,you know we keep a couple hundred dollars um if that much charged on those which isn't too bad it's just your normal,We have some money on there,en,English,0
271,006bde060b,"As long as Assad lives, he can manage these troubles and keep an agreement with Israel.","As long as Assad doesn't die in the hurricane, he will still be able to take care of the trouble with the soldiers. ",en,English,1
273,f78470a892,"Some experts say there's a greater chance of a making a catch in the cooler days of spring and autumn, and in the hours after sunset.",Experts say you should never try to make a catch after sunset.,en,English,2
274,e186df7e87,"Across the river from the city, it has superb views; rooms are very contemporary in design.",It has terrible views of the parking lot.,en,English,2
275,722f180b8d,"If not the most beautiful, the chateau is certainly the most formidable in the Loire Valley, a real defensive fortress, its black ramparts still forbidding despite having had their towers decapitated on the orders of Henri III.",The chateau is certainly the least formidable in all of the Loire Valley.,en,English,2
276,fb11f93c8c,Two aromatic aniseed drinks are also produced locally.,The aniseed drinks have a good smell to them.,en,English,0
278,ebb9f61ef4,"In Japan, Mainichi Shimbun criticized the new Liberal Democratic Party leader Keizo Obuchi for being devoid of fresh ideas for reviving the Japanese economy.",Mainichi Shimbun approved of Keizo Obuchi's efforts toward improving the economy.,en,English,2
279,c5a14e7487,"Sandstone and granite were the materials used to build the Baroque church of Bom Jesus, famous for its casket of St. Francis Xavier's relics in the mausoleum to the right of the altar.",The Baroque chuch of Bom Jesus is a famous church made of sandstone and granite.,en,English,0
280,ba422fd361,TEST ORGANISMS,Trial Living Plants,en,English,1
281,60b28e56b7,"Don't take it to heart, lad, he said kindly.",He was trying to console the lad.,en,English,0
283,9200bffc21,"Summary of Deferred Maintenance as of September 30, 199Z (in Millions of Dollars):","Deferred Maintenance in Millions of Dollars, as of September 30, 199Z:",en,English,0
286,05a7cfb970,The opportunity,Opportunities are important to take advantage of.,en,English,1
289,7eec599334,uh wasn't that Jane Eyre no he wrote Jane Eyre too,Was it Jane Eyre or not?,en,English,0
290,658d8835d7,"I shan't stop you.""",I will stop you.,en,English,2
295,9bb522b7fa,ENVIRONMENTAL PROTECTION AGENCY,Agency which is responsible for the protection of the environment and the maintaining of national parks.,en,English,1
296,6ec1777273,"These gardens used to belong to the governor's mountain lodge, but the building was demolished by the Japanese during the occupation of Hong Kong.",These gardens belong to the governor's mountain lodge.,en,English,2
297,58f6abe2c3,"There is nothing more to be done here, I think, unless, he stared earnestly and long at the dead ashes in the grate. ",There isn't anything left to do. ,en,English,0
299,a4910a7455,They are the four sentences you always insert in plagiarized papers to throw the professor off track.,"If you put these four sentences into your paper, professors will immediately know that it's been plagiarized.",en,English,2
305,fd829a35fa,"I think as soon as they get you, they'll come for me.",I'll help you get away.,en,English,1
307,5d88ae49e5,"In short, this is a whole new costing area that would need to be undertaken.","In a nutshell, this new costing area would need to be undertaken.",en,English,0
309,bbbb856251,Melatonin,It contains melatonin. ,en,English,1
310,69ea5fdf98,You'll find galleries in all the major towns and in some of the smaller villages.,Smaller villages also operate galleries that can be found.,en,English,0
312,0cdf9729c4,"They found plenty of water pouring down from the mountains, and more timber than anyone knew what to do with.",There was no water found pouring down from the mountains.,en,English,2
314,7c9e190576,"On your right is the entrance to the 16th-century Sandal Bedesten, with lovely brick vaults supported on massive stone pillars.",We will not be able to show you the entrance to the Sandal Bedesten because of construction.,en,English,2
315,c0ca677f33,Progressives at last are noticing that the best argument for government activism is that it works.,Progressives are arguing that government activism does not work whatsoever. ,en,English,2
316,ee0ae0cb5a,"No one was there, no bones at all.",Nothing was left from the body.,en,English,0
317,cf9c1da840,"While the NIPA measure reflects how government saving affects national saving available for investment, the unified budget measure is the more common frame of reference for discussing federal fiscal policy issues.",The NIPA measure is more reliable than the unified budget measure.,en,English,1
319,cd1325c6c0,"My body is to me like a crippled rabbit that I don't want to pet, that I forget to feed on time, that I haven't time to play with and get to know, a useless rabbit kept in a cage that it would be cruel to turn loose.",I am anorexic.,en,English,1
320,0463886779,uh but you could fill a whole bunch of uh holes with these things i used to i used to advertise buying wheat pennies um i'd give a dollar a roll which two cents a piece which is basically overpriced,I used to try to sell wheat pennies.,en,English,2
321,0bebb69377,"Penrith and Blencathra are also Celtic names, established during this early period of settlement.",Penrith and Blencathra are names which go back to ancient Rome.,en,English,2
323,fc78995df5,"If necessary to meeting the restrictions imposed in the preceding sentence, the Administrator shall reduce, pro rata, the basic Phase II allowance allocations for each unit subject to the requirements of section 414.",The administrator shall reduce allowance for each unit. ,en,English,0
326,fbd26839bc,"As a result, their services may be more effective when conducted in the emergency department environment.",Their services might be more effective if they're done in the ED.,en,English,0
329,16778dd22f,evaluation questions.,There are evaluation questions on the topic.,en,English,1
330,fc4c4c50ef,"Therefore, many leading finance organizations have calculated and compared these percentages as a general indication of how well they supported the organization's business objectives.",Finance organization calculated data about every other organization.,en,English,1
332,14f4633e72,"Previously, at the request of the Republican Ranking Minority Member of the House Committee on Government Operations, GAO reviewed activities of President Clintonas Task Force on Health Care Reform and was provided with an extensive listing of working group participants drawn from the government and from outside organizations.",The GAO have reviewed the activities of President Clinton's Task Force.,en,English,0
334,df7d813655,"She, in turn, was worshipped by her subjects as a living god.","As a result, she was revered by her subjects as a living deity: one among many.",en,English,1
336,eba73bd7a3,The air is warm.,The frigid air caught them all by surprise.,en,English,2
337,a2717ae8c8,Among the disadvantages are that the degree of innovation and product differentiation might continue to be limited.,Limited innovation is not going to be an advantage. ,en,English,0
338,2921f15d1a,Treat yourself and bill it to Si.,Spend as much as you like and bill it to Si.,en,English,1
339,3708d880f1,i think that yeah i think and i i think that's real important,"""I truly believe that that's really important for us to know.""",en,English,1
340,e0c834869d,An important part of U.S. diplomacy is getting sovereign states to work together voluntarily.,It's not important for states to work together.,en,English,2
342,109e732710,CHAPTER 6: HUMAN CAPITAL,"Capital is money, not people.",en,English,2
344,5bfb69f35b,The rise of the British Empire in India had begun.,It started the rise of the German Empire in India.,en,English,2
346,a5da185d23,but uh these guys were actually on the road uh two thousand miles from from home when they had to file their uh their final exams and send them in,These men filed their midterm exams from home. ,en,English,2
347,7d5ddf5f4a,Sarawak pottery is ochre-colored with bold geometric designs.,Sarawak pottery has been around for a long time.,en,English,1
348,926329d709,"I ordered Better Sexual Techniques , Advanced Sexual Techniques , Making Sex Fun , and Advanced Oral Sex Techniques (priced about $11.",The orders I made were not being offered for free.,en,English,0
